G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,-12.91756555,-47.32067166,60.23823721,0.553215036,-0.490653241,-0.062561795
0,0,0,0,-11.94063339,-47.97844085,59.91907424,0.557029069,-0.485008771,-0.072020298
0,0,0,0,-10.96074651,-48.62436089,59.5851074,0.560705658,-0.479244598,-0.08146106
0,0,0,0,-9.978148038,-49.25827119,59.23641923,0.564243895,-0.473362146,-0.090881749
0,0,0,0,-8.993079749,-49.88001445,58.8730942,0.567642906,-0.467362865,-0.100280041
0,0,0,0,-8.005784452,-50.48944043,58.49522489,0.570901855,-0.461248241,-0.109653614
0,0,0,0,-7.016504578,-51.08640035,58.10290493,0.574019942,-0.455019786,-0.119000156
0,0,0,0,-6.025484276,-51.6707498,57.69623407,0.576996398,-0.448679042,-0.128317356
0,0,0,0,-5.032967963,-52.24234421,57.27531217,0.57983049,-0.442227574,-0.137602916
0,0,0,0,-4.039202103,-52.80104255,56.84024466,0.582521516,-0.435666975,-0.146854541
0,0,0,0,-3.044433132,-53.34670409,56.39113722,0.58506881,-0.428998862,-0.156069948
0,0,0,0,-2.048908248,-53.87919314,55.92810139,0.587471742,-0.422224879,-0.165246862
0,0,0,0,-1.052873319,-54.39837678,55.4512501,0.589729716,-0.415346698,-0.174383018
0,0,0,0,-0.056574371,-54.90412868,54.96070305,0.591842179,-0.408366019,-0.18347616
0,0,0,0,0.939743527,-55.39632527,54.45658175,0.593808609,-0.401284565,-0.192524044
0,0,0,0,1.93583453,-55.87484796,53.93901343,0.595628525,-0.39410409,-0.201524436
0,0,0,0,2.931453157,-56.33957927,53.40812612,0.597301478,-0.386826365,-0.210475113
0,0,0,0,3.926352875,-56.79040553,52.86405265,0.598827055,-0.37945319,-0.219373865
0,0,0,0,4.920287493,-57.22721406,52.30692657,0.600204878,-0.371986381,-0.228218497
0,0,0,0,5.913010322,-57.64989659,51.73688627,0.601434606,-0.364427782,-0.237006824
0,0,0,0,6.904275864,-58.05834731,51.15407145,0.602515934,-0.356779256,-0.245736679
0,0,0,0,7.893838958,-58.45246617,50.55862721,0.603448596,-0.349042692,-0.254405904
0,0,0,0,8.881455855,-58.83215638,49.95070053,0.604232362,-0.341219999,-0.263012363
0,0,0,0,9.866882906,-59.19732652,49.33044361,0.604867041,-0.333313112,-0.271553929
0,0,0,0,10.84987739,-59.54788734,48.69800995,0.605352477,-0.325323982,-0.280028495
0,0,0,0,11.83019636,-59.88375372,48.05355735,0.605688551,-0.317254582,-0.288433969
0,0,0,0,12.8075977,-60.20484225,47.39724455,0.60587518,-0.309106904,-0.296768276
0,0,0,0,13.78183927,-60.51107365,46.72923437,0.605912317,-0.300882957,-0.30502936
0,0,0,0,14.75268023,-60.80237113,46.0496909,0.605799951,-0.29258477,-0.313215181
0,0,0,0,15.71988038,-61.07866299,45.35878261,0.60553811,-0.284214391,-0.321323719
0,0,0,0,16.68320125,-61.33988091,44.65667966,0.605126859,-0.275773884,-0.329352975
0,0,0,0,17.64240515,-61.58596187,43.94355671,0.6045663,-0.267265335,-0.337300965
0,0,0,0,18.59725588,-61.81684583,43.21958995,0.603856572,-0.258690842,-0.34516573
0,0,0,0,19.54751774,-62.03247718,42.48495943,0.602997852,-0.250052525,-0.352945327
0,0,0,0,20.49295635,-62.23280264,41.73984629,0.601990352,-0.241352514,-0.360637838
0,0,0,0,21.43333788,-62.41777303,40.98443515,0.600834319,-0.232592955,-0.368241364
0,0,0,0,22.36843005,-62.58734183,40.21891178,0.599530039,-0.22377601,-0.375754028
0,0,0,0,23.29800162,-62.74146714,39.44346552,0.598077832,-0.214903854,-0.383173978
0,0,0,0,24.22182324,-62.88011045,38.65828721,0.596478056,-0.205978675,-0.390499381
0,0,0,0,25.13966692,-63.00323827,37.86357135,0.594731107,-0.197002675,-0.397728432
0,0,0,0,26.05130659,-63.11082057,37.05951397,0.592837417,-0.187978071,-0.404859346
0,0,0,0,26.9565174,-63.20283187,36.24631447,0.590797453,-0.178907089,-0.411890364
0,0,0,0,27.85507623,-63.2792496,35.42417338,0.58861172,-0.169791969,-0.418819751
0,0,0,0,28.74676114,-63.34005531,34.59329417,0.586280756,-0.160634959,-0.425645796
0,0,0,0,29.63135206,-63.38523341,33.75388135,0.583805136,-0.151438319,-0.432366817
0,0,0,0,30.50863036,-63.41477266,32.9061423,0.58118547,-0.142204316,-0.438981154
0,0,0,0,31.37837957,-63.42866519,32.05028562,0.578422405,-0.132935228,-0.445487177
0,0,0,0,32.24038499,-63.42690783,31.18652285,0.575516622,-0.123633344,-0.451883279
0,0,0,0,33.09443421,-63.40950104,30.31506683,0.572468839,-0.114300957,-0.458167882
0,0,0,0,33.94031663,-63.37644984,29.43613321,0.569279808,-0.104940371,-0.464339437
0,0,0,0,34.77782382,-63.32776251,28.54993869,0.565950317,-0.095553896,-0.470396421
0,0,0,0,35.60674911,-63.26345152,27.65670241,0.562481186,-0.086143848,-0.476337338
0,0,0,0,36.42688803,-63.18353241,26.75664438,0.558873273,-0.076712548,-0.482160725
0,0,0,0,37.23803799,-63.08802483,25.84998683,0.555127466,-0.067262323,-0.487865142
0,0,0,0,38.03999886,-62.97695181,24.93695295,0.551244689,-0.057795505,-0.493449184
0,0,0,0,38.83257264,-62.8503408,24.01776816,0.547225901,-0.048314428,-0.498911473
0,0,0,0,39.61556395,-62.70822283,23.09265888,0.543072093,-0.038821432,-0.504250661
0,0,0,0,40.38877968,-62.55063339,22.1618537,0.538784291,-0.029318859,-0.509465432
0,0,0,0,41.15202932,-62.37761143,21.22558211,0.534363552,-0.019809055,-0.514554497
0,0,0,0,41.9051246,-62.18920004,20.28407545,0.529810967,-0.010294365,-0.519516602
0,0,0,0,42.64787981,-61.98544555,19.33756574,0.525127661,-0.000777137,-0.524350524
0,0,0,0,43.38011159,-61.76639825,18.38628666,0.520314787,0.008740281,-0.529055068
0,0,0,0,44.10163928,-61.53211177,17.43047249,0.515373534,0.01825554,-0.533629074
0,0,0,0,44.81228474,-61.28264385,16.47035911,0.51030512,0.027766294,-0.538071415
0,0,0,0,45.51187272,-61.01805578,15.50618305,0.505110796,0.037270197,-0.542380993
0,0,0,0,46.20023065,-60.73841302,14.53818238,0.499791844,0.046764902,-0.546556747
0,0,0,0,46.87718887,-60.44378457,13.5665957,0.494349576,0.056248069,-0.550597645
0,0,0,0,47.54258042,-60.13424343,12.59166301,0.488785335,0.065717355,-0.55450269
0,0,0,0,48.19624127,-59.8098659,11.61362463,0.483100494,0.075170426,-0.55827092
0,0,0,0,48.83801009,-59.47073212,10.63272202,0.477296456,0.084604949,-0.561901405
0,0,0,0,49.46772857,-59.11692546,9.649196893,0.471374653,0.094018596,-0.565393248
0,0,0,0,50.08524124,-58.74853318,8.663291946,0.465336545,0.103409044,-0.568745589
0,0,0,0,50.69039577,-58.36564588,7.675250115,0.459183622,0.112773978,-0.5719576
0,0,0,0,51.28304284,-57.96835811,6.685315271,0.452917403,0.122111086,-0.575028489
0,0,0,0,51.86303635,-57.55676781,5.693731458,0.446539433,0.131418065,-0.577957498
0,0,0,0,52.43023325,-57.13097675,4.700743505,0.440051287,0.140692619,-0.580743905
0,0,0,0,52.9844937,-56.69108997,3.706596266,0.433454565,0.149932458,-0.583387022
0,0,0,0,53.52568095,-56.23721612,2.711535166,0.426750895,0.159135303,-0.585886198
0,0,0,0,54.05366151,-55.76946703,1.715805511,0.41994193,0.168298884,-0.588240814
0,0,0,0,54.56830504,-55.28795807,0.71965303,0.413029352,0.177420939,-0.590450291
0,0,0,0,55.06948457,-54.79280783,-0.276676739,0.406014865,0.186499219,-0.592514084
0,0,0,0,55.55707639,-54.28413848,-1.272937915,0.3989002,0.195531483,-0.594431683
0,0,0,0,56.03096029,-53.76207542,-2.268884866,0.391687113,0.204515502,-0.596202615
0,0,0,0,56.49101934,-53.2267476,-3.264271737,0.384377382,0.213449061,-0.597826443
0,0,0,0,56.93714013,-52.67828709,-4.258853045,0.376972813,0.222329954,-0.599302767
0,0,0,0,57.3692126,-52.11682934,-5.252383265,0.369475231,0.231155991,-0.600631222
0,0,0,0,57.78713018,-51.54251279,-6.244617391,0.361886487,0.239924994,-0.601811481
0,0,0,0,58.19078971,-50.95547917,-7.235310537,0.354208453,0.248634798,-0.602843252
0,0,0,0,58.58009159,-50.35587316,-8.224218436,0.346443024,0.257283257,-0.60372628
0,0,0,0,58.95493973,-49.74384268,-9.211097048,0.338592115,0.265868234,-0.604460349
0,0,0,0,59.31524166,-49.11953864,-10.19570302,0.330657663,0.274387613,-0.605045276
0,0,0,0,59.66090849,-48.48311516,-11.17779333,0.322641627,0.282839292,-0.605480918
0,0,0,0,59.99185498,-47.83472923,-12.15712575,0.314545984,0.291221184,-0.605767167
0,0,0,0,60.30799948,-47.17454096,-13.13345853,0.306372731,0.299531222,-0.605903953
0,0,0,0,60.60926404,-46.50271319,-14.10655086,0.298123886,0.307767355,-0.605891241
0,0,0,0,60.89557429,-45.81941173,-15.07616256,0.289801483,0.315927551,-0.605729034
0,0,0,0,61.1668596,-45.12480509,-16.04205451,0.281407576,0.324009798,-0.605417374
0,0,0,0,61.42305298,-44.41906463,-17.00398835,0.272944236,0.3320121,-0.604956336
0,0,0,0,61.66409123,-43.70236439,-17.96172684,0.264413552,0.339932483,-0.604346034
0,0,0,0,61.88991486,-42.97488125,-18.91503361,0.255817627,0.347768993,-0.60358662
0,0,0,0,62.10046819,-42.23679468,-19.86367351,0.247158583,0.355519697,-0.60267828
0,0,0,0,62.29569926,-41.48828686,-20.8074124,0.238438556,0.363182682,-0.601621238
0,0,0,0,62.47555995,-40.72954247,-21.74601748,0.229659698,0.370756057,-0.600415755
0,0,0,0,62.64000585,-39.96074879,-22.67925707,0.220824175,0.378237954,-0.599062129
0,0,0,0,62.78899641,-39.18209543,-23.60690098,0.211934168,0.385626526,-0.597560694
0,0,0,0,62.92249482,-38.39377454,-24.52872029,0.202991868,0.392919951,-0.59591182
0,0,0,0,63.04046815,-37.59598053,-25.44448762,0.193999484,0.400116429,-0.594115913
0,0,0,0,63.14288726,-36.78891028,-26.35397698,0.184959233,0.407214185,-0.592173418
0,0,0,0,63.22972691,-35.97276289,-27.25696403,0.175873346,0.414211466,-0.590084813
0,0,0,0,63.30096566,-35.14773977,-28.15322589,0.166744065,0.421106548,-0.587850613
0,0,0,0,63.35658596,-34.3140445,-29.04254146,0.157573643,0.427897728,-0.585471371
0,0,0,0,63.39657409,-33.47188283,-29.92469125,0.148364341,0.43458333,-0.582947672
0,0,0,0,63.42092017,-32.62146253,-30.79945765,0.139118434,0.441161706,-0.580280139
0,0,0,0,63.4296182,-31.76299343,-31.66662476,0.1298382,0.447631232,-0.577469432
0,0,0,0,63.42266601,-30.89668731,-32.5259787,0.120525931,0.453990311,-0.574516243
0,0,0,0,63.4000653,-30.02275793,-33.37730737,0.111183925,0.460237375,-0.5714213
0,0,0,0,63.36182166,-29.14142086,-34.22040079,0.101814485,0.466370883,-0.568185368
0,0,0,0,63.30794451,-28.25289363,-35.05505088,0.092419924,0.472389321,-0.564809245
0,0,0,0,63.23844716,-27.35739543,-35.88105173,0.08300256,0.478291204,-0.561293763
0,0,0,0,63.15334677,-26.45514728,-36.69819949,0.073564716,0.484075075,-0.557639791
0,0,0,0,63.05266433,-25.54637178,-37.50629255,0.064108721,0.489739509,-0.55384823
0,0,0,0,62.93642468,-24.63129318,-38.3051315,0.054636909,0.495283106,-0.549920015
0,0,0,0,62.8046565,-23.71013723,-39.09451928,0.045151616,0.5007045,-0.545856116
0,0,0,0,62.65739229,-22.78313121,-39.87426107,0.035655182,0.506002352,-0.541657534
0,0,0,0,62.49466837,-21.85050383,-40.64416454,0.026149951,0.511175356,-0.537325307
0,0,0,0,62.3165249,-20.91248522,-41.40403968,0.016638268,0.516222236,-0.532860504
